map_type,agents,seed,solved,soc,makespan,comp_time_ms
intersection,25,4,True,3722,293,19933.0
intersection,25,5,False,0,0,61046.0
intersection,25,6,False,0,0,61682.0
intersection,25,7,False,0,0,60578.0
intersection,25,8,False,0,0,61574.0
intersection,25,9,False,0,0,60748.0
intersection,25,10,False,0,0,61457.0
intersection,25,11,False,0,0,61586.0
intersection,25,12,False,0,0,61123.0
intersection,25,13,False,0,0,60722.0
intersection,25,14,False,0,0,60939.0
intersection,25,15,False,0,0,60333.0
intersection,25,16,False,0,0,61437.0
intersection,25,17,False,0,0,61097.0
intersection,25,18,False,0,0,61332.0
intersection,25,19,False,0,0,60609.0
intersection,25,20,False,0,0,61300.0
intersection,25,21,False,0,0,60963.0
intersection,25,22,True,2935,245,17243.0
intersection,25,23,False,0,0,61263.0
intersection,25,24,False,0,0,61176.0
cooperative_clearing,5,0,True,693,175,9.0
cooperative_clearing,5,1,True,662,175,9.0
cooperative_clearing,5,2,True,796,215,11.0
cooperative_clearing,5,3,True,823,196,6.0
cooperative_clearing,5,4,True,752,186,108.0
cooperative_clearing,5,5,True,562,161,9.0
cooperative_clearing,5,6,True,689,178,9.0
cooperative_clearing,5,7,True,658,196,9.0
cooperative_clearing,5,8,True,543,127,8.0
cooperative_clearing,5,9,True,546,133,8.0
cooperative_clearing,5,10,True,590,166,10.0
cooperative_clearing,5,11,True,683,197,11.0
cooperative_clearing,5,12,True,438,113,8.0
cooperative_clearing,5,13,True,814,196,6.0
cooperative_clearing,5,14,True,858,207,19.0
cooperative_clearing,5,15,True,717,183,5.0
cooperative_clearing,5,16,True,708,168,8.0
cooperative_clearing,5,17,True,644,173,5.0
cooperative_clearing,5,18,True,801,231,13.0
cooperative_clearing,5,19,True,678,171,9.0
cooperative_clearing,5,20,True,608,154,9.0
cooperative_clearing,5,21,True,643,177,9.0
cooperative_clearing,5,22,True,603,168,13.0
cooperative_clearing,5,23,True,939,239,14.0
cooperative_clearing,5,24,True,697,164,107.0
cooperative_clearing,10,0,True,6637,814,3599.0
cooperative_clearing,10,1,True,3985,564,24219.0
cooperative_clearing,10,2,True,1557,226,11.0
cooperative_clearing,10,3,True,3913,495,1975.0
cooperative_clearing,10,4,False,0,0,60910.0
cooperative_clearing,10,5,False,0,0,61606.0
cooperative_clearing,10,6,True,4672,718,380.0
cooperative_clearing,10,7,True,3887,491,353.0
cooperative_clearing,10,8,True,1959,345,41.0
cooperative_clearing,10,9,True,5041,596,1356.0
cooperative_clearing,10,10,False,0,0,62780.0
cooperative_clearing,10,11,True,4799,553,228.0
cooperative_clearing,10,12,True,3233,508,138.0
cooperative_clearing,10,13,True,3610,536,1143.0
cooperative_clearing,10,14,False,0,0,61545.0
cooperative_clearing,10,15,True,9392,1128,311.0
cooperative_clearing,10,16,True,5298,610,5910.0
cooperative_clearing,10,17,True,3171,398,90.0
cooperative_clearing,10,18,False,0,0,60839.0
cooperative_clearing,10,19,True,2157,285,16.0
cooperative_clearing,10,20,True,2445,432,33.0
cooperative_clearing,10,21,True,2148,315,46.0
cooperative_clearing,10,22,False,0,0,61249.0
cooperative_clearing,10,23,True,3139,429,211.0
cooperative_clearing,10,24,False,0,0,61040.0
cooperative_clearing,15,0,False,0,0,60581.0
cooperative_clearing,15,1,False,0,0,60960.0
cooperative_clearing,15,2,True,2583,277,18.0
cooperative_clearing,15,3,False,0,0,61378.0
cooperative_clearing,15,4,False,0,0,61092.0
cooperative_clearing,15,5,False,0,0,60880.0
cooperative_clearing,15,6,False,0,0,61367.0
cooperative_clearing,15,7,True,6676,661,5287.0
cooperative_clearing,15,8,True,8196,760,1827.0
cooperative_clearing,15,9,False,0,0,60812.0
cooperative_clearing,15,10,False,0,0,61275.0
cooperative_clearing,15,11,False,0,0,61020.0
cooperative_clearing,15,12,False,0,0,60786.0
cooperative_clearing,15,13,True,5448,551,2442.0
cooperative_clearing,15,14,False,0,0,60953.0
cooperative_clearing,15,15,True,7681,813,633.0
cooperative_clearing,15,16,True,3584,434,39.0
cooperative_clearing,15,17,True,11344,1135,18600.0
cooperative_clearing,15,18,False,0,0,60646.0
cooperative_clearing,15,19,True,7335,719,387.0
cooperative_clearing,15,20,False,0,0,60486.0
cooperative_clearing,15,21,True,2255,254,27.0
cooperative_clearing,15,22,True,10653,1060,1212.0
cooperative_clearing,15,23,False,0,0,60704.0
cooperative_clearing,15,24,False,0,0,60984.0
cooperative_clearing,20,0,False,0,0,60770.0
cooperative_clearing,20,1,False,0,0,60338.0
cooperative_clearing,20,2,False,0,0,61225.0
cooperative_clearing,20,3,False,0,0,61262.0
cooperative_clearing,20,4,False,0,0,60807.0
cooperative_clearing,20,5,False,0,0,60519.0
cooperative_clearing,20,6,False,0,0,60692.0
cooperative_clearing,20,7,False,0,0,60619.0
cooperative_clearing,20,8,True,4176,381,33.0
cooperative_clearing,20,9,False,0,0,60386.0
cooperative_clearing,20,10,False,0,0,60769.0
cooperative_clearing,20,11,False,0,0,60494.0
cooperative_clearing,20,12,False,0,0,60302.0
cooperative_clearing,20,13,True,7058,652,1874.0
cooperative_clearing,20,14,False,0,0,60745.0
cooperative_clearing,20,15,True,8909,698,1928.0
cooperative_clearing,20,16,False,0,0,60409.0
cooperative_clearing,20,17,True,14074,1092,17699.0
cooperative_clearing,20,18,False,0,0,60595.0
cooperative_clearing,20,19,False,0,0,60819.0
cooperative_clearing,20,20,False,0,0,60229.0
cooperative_clearing,20,21,True,5390,564,106.0
cooperative_clearing,20,22,False,0,0,60620.0
cooperative_clearing,20,23,False,0,0,60748.0
cooperative_clearing,20,24,False,0,0,60975.0
cooperative_clearing,25,0,False,0,0,60910.0
cooperative_clearing,25,1,False,0,0,60459.0
cooperative_clearing,25,2,False,0,0,61023.0
cooperative_clearing,25,3,False,0,0,60854.0
cooperative_clearing,25,4,False,0,0,60692.0
cooperative_clearing,25,5,True,9832,887,341.0
cooperative_clearing,25,6,False,0,0,60447.0
cooperative_clearing,25,7,False,0,0,60512.0
cooperative_clearing,25,8,True,23968,1669,1350.0
cooperative_clearing,25,9,False,0,0,60816.0
cooperative_clearing,25,10,False,0,0,61065.0
cooperative_clearing,25,11,False,0,0,60494.0
cooperative_clearing,25,12,False,0,0,60269.0
cooperative_clearing,25,13,False,0,0,61373.0
cooperative_clearing,25,14,False,0,0,60552.0
cooperative_clearing,25,15,False,0,0,60700.0
cooperative_clearing,25,16,False,0,0,60743.0
cooperative_clearing,25,17,False,0,0,60444.0
cooperative_clearing,25,18,False,0,0,60689.0
cooperative_clearing,25,19,False,0,0,60638.0
cooperative_clearing,25,20,False,0,0,60771.0
cooperative_clearing,25,21,True,4202,396,44.0
cooperative_clearing,25,22,False,0,0,60825.0
cooperative_clearing,25,23,False,0,0,60641.0
cooperative_clearing,25,24,True,7155,371,195.0
