map_type,agents,seed,solved,soc,makespan,comp_time_ms
corridor_speed,15,21,True,7900,907,221.0
corridor_speed,15,22,True,3259,441,81.0
corridor_speed,15,23,True,8162,926,374.0
corridor_speed,15,24,True,7133,911,1705.0
corridor_speed,20,0,False,0,0,60779.0
corridor_speed,20,1,True,5826,590,157.0
corridor_speed,20,2,True,8361,913,375.0
corridor_speed,20,3,True,9218,1117,24664.0
corridor_speed,20,4,True,7715,716,785.0
corridor_speed,20,5,True,8155,797,150.0
corridor_speed,20,6,True,11344,1009,367.0
corridor_speed,20,7,True,9676,1075,195.0
corridor_speed,20,8,False,0,0,60683.0
corridor_speed,20,9,True,9120,890,85.0
corridor_speed,20,10,True,6074,575,210.0
corridor_speed,20,11,True,7597,805,117.0
corridor_speed,20,12,True,15404,1272,518.0
corridor_speed,20,13,True,8655,787,35466.0
corridor_speed,20,14,True,9340,880,1611.0
corridor_speed,20,15,True,10351,1056,692.0
corridor_speed,20,16,True,14794,1229,12105.0
corridor_speed,20,17,True,5859,507,50.0
corridor_speed,20,18,True,6829,680,136.0
corridor_speed,20,19,True,9376,992,171.0
corridor_speed,20,20,True,5547,553,79.0
corridor_speed,20,21,True,8272,825,99.0
corridor_speed,20,22,True,5300,600,202.0
corridor_speed,20,23,True,14144,1042,770.0
corridor_speed,20,24,False,0,0,61388.0
corridor_speed,25,0,False,0,0,61828.0
corridor_speed,25,1,True,10875,797,464.0
corridor_speed,25,2,True,12333,1251,2315.0
corridor_speed,25,3,True,10311,1030,7618.0
corridor_speed,25,4,True,11179,960,972.0
corridor_speed,25,5,True,15680,1365,3176.0
corridor_speed,25,6,True,8286,733,157.0
corridor_speed,25,7,True,12703,1146,6295.0
corridor_speed,25,8,False,0,0,60632.0
corridor_speed,25,9,False,0,0,61030.0
corridor_speed,25,10,True,21880,1456,5711.0
corridor_speed,25,11,True,20810,1347,14410.0
corridor_speed,25,12,True,14326,1142,237.0
corridor_speed,25,13,False,0,0,61722.0
corridor_speed,25,14,True,18145,1363,7569.0
corridor_speed,25,15,True,16829,1409,662.0
corridor_speed,25,16,True,16473,1406,33056.0
corridor_speed,25,17,True,7923,557,394.0
corridor_speed,25,18,True,13719,1326,9045.0
corridor_speed,25,19,True,19432,1452,2101.0
corridor_speed,25,20,True,7907,573,63.0
corridor_speed,25,21,True,14277,1301,523.0
corridor_speed,25,22,True,15289,1284,1210.0
corridor_speed,25,23,True,17746,1255,2378.0
corridor_speed,25,24,True,10924,953,4497.0
bottleneck_doors,5,0,True,674,149,8.0
bottleneck_doors,5,1,True,558,133,7.0
bottleneck_doors,5,2,True,628,152,4.0
bottleneck_doors,5,3,True,615,155,9.0
bottleneck_doors,5,4,True,535,140,4.0
bottleneck_doors,5,5,True,286,77,7.0
bottleneck_doors,5,6,True,411,112,6.0
bottleneck_doors,5,7,True,660,144,8.0
bottleneck_doors,5,8,True,459,130,4.0
bottleneck_doors,5,9,True,420,112,3.0
bottleneck_doors,5,10,True,435,113,7.0
bottleneck_doors,5,11,True,666,238,9.0
bottleneck_doors,5,12,True,522,121,10.0
bottleneck_doors,5,13,True,717,192,17.0
bottleneck_doors,5,14,True,493,133,4.0
bottleneck_doors,5,15,True,644,205,5.0
bottleneck_doors,5,16,True,495,152,5.0
bottleneck_doors,5,17,True,444,119,3.0
bottleneck_doors,5,18,True,505,126,6.0
bottleneck_doors,5,19,True,664,157,4.0
bottleneck_doors,5,20,True,453,140,4.0
bottleneck_doors,5,21,True,642,168,12.0
bottleneck_doors,5,22,True,458,122,10.0
bottleneck_doors,5,23,True,573,140,8.0
bottleneck_doors,5,24,True,582,148,4.0
bottleneck_doors,10,0,True,1453,214,12.0
bottleneck_doors,10,1,True,1091,136,10.0
bottleneck_doors,10,2,True,1276,165,11.0
bottleneck_doors,10,3,True,1107,155,7.0
bottleneck_doors,10,4,True,1633,270,17.0
bottleneck_doors,10,5,True,959,140,14.0
bottleneck_doors,10,6,True,1366,205,11.0
bottleneck_doors,10,7,True,1217,161,8.0
bottleneck_doors,10,8,True,1024,140,11.0
bottleneck_doors,10,9,True,951,116,9.0
bottleneck_doors,10,10,True,1903,258,26.0
bottleneck_doors,10,11,True,1204,186,9.0
bottleneck_doors,10,12,True,981,129,9.0
bottleneck_doors,10,13,True,1440,201,10.0
bottleneck_doors,10,14,True,1088,153,11.0
bottleneck_doors,10,15,True,1357,209,25.0
bottleneck_doors,10,16,True,1188,154,11.0
bottleneck_doors,10,17,True,1019,131,6.0
bottleneck_doors,10,18,True,1101,140,11.0
bottleneck_doors,10,19,True,1132,162,8.0
bottleneck_doors,10,20,True,1193,165,8.0
bottleneck_doors,10,21,True,1210,196,12.0
bottleneck_doors,10,22,True,999,119,9.0
bottleneck_doors,10,23,True,1472,193,9.0
bottleneck_doors,10,24,True,1324,190,8.0
bottleneck_doors,15,0,True,2345,283,18.0
bottleneck_doors,15,1,True,3362,393,36.0
bottleneck_doors,15,2,True,1780,165,10.0
bottleneck_doors,15,3,True,1798,185,23.0
bottleneck_doors,15,4,True,1920,196,13.0
bottleneck_doors,15,5,True,1536,146,9.0
bottleneck_doors,15,6,True,1927,206,24.0
bottleneck_doors,15,7,True,2213,222,18.0
bottleneck_doors,15,8,True,1758,140,9.0
bottleneck_doors,15,9,True,1445,144,13.0
bottleneck_doors,15,10,True,1756,162,15.0
bottleneck_doors,15,11,True,1724,188,17.0
bottleneck_doors,15,12,True,2343,235,21.0
bottleneck_doors,15,13,True,2187,242,23.0
bottleneck_doors,15,14,True,1816,167,13.0
bottleneck_doors,15,15,True,1767,210,17.0
bottleneck_doors,15,16,True,1908,156,14.0
bottleneck_doors,15,17,True,1661,171,12.0
bottleneck_doors,15,18,True,1875,175,17.0
bottleneck_doors,15,19,True,2004,242,21.0
bottleneck_doors,15,20,True,1684,156,15.0
bottleneck_doors,15,21,True,1927,196,14.0
bottleneck_doors,15,22,True,1616,153,17.0
bottleneck_doors,15,23,True,2015,178,16.0
bottleneck_doors,15,24,True,1901,156,14.0
bottleneck_doors,20,0,False,0,0,62129.0
bottleneck_doors,20,1,True,2988,273,24.0
bottleneck_doors,20,2,True,2642,229,20.0
bottleneck_doors,20,3,True,2567,185,19.0
bottleneck_doors,20,4,False,0,0,61619.0
bottleneck_doors,20,5,True,2101,149,11.0
bottleneck_doors,20,6,False,0,0,62274.0
bottleneck_doors,20,7,True,2898,226,22.0
bottleneck_doors,20,8,True,2115,140,17.0
bottleneck_doors,20,9,True,2223,175,16.0
bottleneck_doors,20,10,True,2069,151,16.0
bottleneck_doors,20,11,True,2596,303,28.0
bottleneck_doors,20,12,True,2505,208,15.0
bottleneck_doors,20,13,True,2819,234,18.0
bottleneck_doors,20,14,True,3104,291,29.0
bottleneck_doors,20,15,True,2728,241,26.0
bottleneck_doors,20,16,True,3106,249,26.0
