agents=25
map_file=intersection_105.map
solver=het_lacam
solved=1
soc=2883
soc_lb=648
makespan=188
makespan_lb=91
sum_of_loss=2105
comp_time=884
seed=0
checkpoints=-1,
comp_time_initial_solution=869
cost_initial_solution=2149
search_iteration=9777
num_high_level_node=4079
num_low_level_node=35294
fleets=0:1:1:105:105;1:3:1:35:35;2:5:2:21:21;3:7:3:15:15
agent_fleet=3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13:(5,7),(5,6),(9,8),(5,8),(11,13),(10,8),(13,13),(11,8),(14,19),(17,22),(10,17),(16,18),(16,16),(61,44),(49,30),(43,56),(49,15),(41,66),(45,47),(54,82),(54,27),(56,51),(55,60),(45,54),(49,41),
14:(5,6),(5,5),(9,8),(5,7),(11,13),(10,9),(13,13),(11,8),(13,19),(17,22),(10,17),(16,18),(15,16),(60,44),(49,31),(43,55),(49,16),(41,65),(45,46),(54,81),(54,28),(57,51),(54,60),(45,53),(49,42),
15:(5,6),(5,5),(9,8),(5,7),(11,13),(10,9),(13,13),(11,7),(12,19),(17,22),(10,17),(16,18),(15,16),(59,44),(49,32),(44,55),(49,17),(40,65),(45,45),(54,80),(54,29),(58,51),(54,59),(45,52),(49,43),
16:(5,6),(5,5),(9,8),(5,7),(11,13),(11,9),(13,13),(11,7),(12,19),(17,22),(10,17),(16,18),(16,16),(58,44),(49,33),(44,54),(49,18),(40,64),(45,44),(54,79),(54,30),(59,51),(53,59),(45,51),(49,44),
17:(5,5),(6,5),(9,8),(5,6),(11,13),(11,9),(13,13),(11,7),(12,18),(17,22),(11,17),(16,18),(16,16),(57,44),(49,34),(44,53),(49,19),(40,63),(45,43),(54,78),(55,30),(60,51),(53,58),(45,51),(49,45),
18:(5,5),(6,5),(9,8),(5,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,18),(16,16),(57,45),(49,35),(44,52),(49,20),(40,62),(46,43),(54,77),(55,31),(61,51),(53,57),(45,51),(49,46),
19:(5,5),(6,5),(9,8),(5,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,18),(16,16),(57,46),(49,36),(44,51),(49,21),(40,61),(46,42),(54,76),(55,32),(62,51),(52,57),(45,51),(49,47),
20:(5,6),(5,5),(9,8),(6,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,18),(17,16),(57,47),(49,37),(45,51),(49,22),(40,60),(46,41),(54,75),(55,33),(63,51),(51,57),(45,50),(49,48),
21:(5,6),(5,5),(9,8),(6,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,18),(17,16),(56,47),(49,38),(45,50),(49,23),(40,59),(46,40),(54,74),(55,34),(64,51),(50,57),(45,49),(49,49),
22:(5,6),(5,5),(9,8),(6,6),(11,13),(12,9),(13,13),(11,8),(12,17),(17,22),(11,17),(16,17),(17,16),(55,47),(49,39),(45,49),(49,24),(40,58),(47,40),(54,73),(55,35),(65,51),(50,56),(44,49),(49,50),
