agents=25
map_file=corridor_speed_105.map
solver=het_lacam
solved=1
soc=4159
soc_lb=1786
makespan=326
makespan_lb=165
sum_of_loss=3831
comp_time=41
seed=0
checkpoints=-1,
comp_time_initial_solution=41
cost_initial_solution=3849
search_iteration=408
num_high_level_node=365
num_low_level_node=2004
fleets=0:1:1:105:105;1:3:1:35:35;2:5:2:21:21;3:7:3:15:15
agent_fleet=3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42:(12,3),(12,2),(13,6),(8,2),(11,5),(10,5),(8,3),(9,5),(27,9),(31,19),(31,20),(31,13),(32,21),(77,65),(74,54),(42,35),(80,24),(49,14),(36,14),(78,35),(20,23),(36,39),(21,70),(67,6),(77,59),
43:(12,2),(11,2),(13,7),(8,2),(12,5),(11,5),(8,3),(10,5),(27,8),(31,20),(31,21),(31,13),(32,21),(77,64),(73,54),(43,35),(79,24),(50,14),(37,14),(77,35),(20,22),(37,39),(21,69),(68,6),(77,58),
44:(12,2),(11,2),(13,7),(8,2),(12,5),(11,5),(9,3),(10,5),(27,7),(31,21),(30,21),(31,13),(32,21),(77,63),(72,54),(44,35),(79,25),(51,14),(38,14),(76,35),(21,22),(38,39),(22,69),(69,6),(77,57),
45:(12,2),(11,2),(13,7),(8,2),(13,5),(12,5),(9,3),(11,5),(27,7),(31,22),(31,21),(31,13),(32,21),(77,62),(71,54),(45,35),(79,26),(52,14),(39,14),(75,35),(21,21),(39,39),(22,68),(70,6),(77,56),
46:(11,2),(10,2),(13,8),(8,2),(13,5),(12,5),(10,3),(11,5),(27,7),(31,23),(31,21),(31,13),(32,21),(77,61),(70,54),(46,35),(78,26),(53,14),(40,14),(74,35),(21,20),(40,39),(22,67),(71,6),(77,55),
47:(11,2),(10,2),(13,8),(8,2),(14,5),(13,5),(10,3),(12,5),(27,7),(31,24),(31,21),(31,13),(32,21),(77,60),(69,54),(47,35),(77,26),(54,14),(41,14),(73,35),(22,20),(41,39),(23,67),(72,6),(77,54),
48:(11,2),(10,2),(13,8),(9,2),(14,5),(13,5),(11,3),(12,5),(27,7),(31,25),(31,21),(31,13),(32,21),(77,59),(68,54),(48,35),(76,26),(55,14),(42,14),(72,35),(22,19),(42,39),(24,67),(73,6),(76,54),
49:(11,2),(10,2),(13,8),(9,2),(14,5),(13,5),(11,3),(12,5),(27,7),(31,26),(31,21),(31,13),(32,21),(77,58),(67,54),(49,35),(75,26),(56,14),(43,14),(71,35),(22,18),(43,39),(25,67),(74,6),(75,54),
50:(11,2),(10,2),(13,8),(9,2),(14,5),(13,5),(11,3),(12,5),(27,7),(31,26),(31,21),(31,13),(32,21),(77,57),(66,54),(50,35),(75,27),(57,14),(44,14),(70,35),(22,17),(44,39),(25,66),(75,6),(74,54),
51:(11,2),(10,2),(13,8),(9,2),(13,5),(12,5),(11,3),(11,5),(27,7),(31,26),(31,21),(31,13),(32,21),(77,56),(65,54),(51,35),(74,27),(58,14),(45,14),(69,35),(22,16),(45,39),(25,65),(76,6),(73,54),
